Product Code,Item Description (WIP Name),Pack Size,Label or Customer Name,Ross WIP #,Line,BLENDING ROOM,GRINDING ROOM,Notes,  WIP BATCH SIZE POUNDS,Minimum Wt.,MinimumWt. using MAV,MAV,Target Wt.,Maximum Wt.
368213S,CHPTL CHILI AIOLI,2/30 FL OZ,T,CCA01S,TUB,X,,,1800,1800,1771,29,1854,1910
370213S,CHPTL CHILI AIOLI,6/30 FL OZ,T,CCA01S,TUB,X,,,1800,1800,1771,29,1854,1910
,,,,,,,,,,, ,,  ,
PURCHASED CO-PACKED ITEMS,,,,,,,,,,,,,,
021001,GARLIC SPREAD,6/4 LB,T,FEGY,Milk & Soy,9,R,Oasis,,,0,,0,0
023162,HR SCE,12/32 OZ,INFERNO,HRS01,Nat.-Occ Sulfites,6,R,TFPW-West Coast,,,,,,
035001,GARLIC SPREAD,6/2 LB,T,FEGY,Milk & Soy,9,R,Oasis,,,0,,0,0
037001,GARLIC SPRD,2/2 LB,T,CP-FEGZ,Milk & Soy,9,R,Oasis,,,0,,0,0
158001,SCAMPI ZERO T,2/2.5 LB,T,CP-30510,Milk & Soy,12,F,Darifair.  S/L = 4 R,,,0,,0,0
169037,HR SCE,4/8 LB,SYSCO CLASSIC,HRS01,Nat.-Occ Sulfites,6,R,TFPW-West Coast,,,,,,
321036,GARLIC SPREAD,6/4 LB,ARREZZIO,,,,R,Oasis,,,,,,
335125,GARLIC SPREAD,6/2 LB,ROSELI,,,,R,Oasis,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
