Finished Product Item Listing,,,,,,,,
"Cross reference between Product Code, Ross #, and Formula #",,,,,,,,
Item,Item Description,Pack Size,Label or Customer Name,Ross WIP #,Allergen / Sensitizer,Non K,Comments,
643276,Chipotle Mayo,6/10floz,Sir Kensington's,SRK10,Egg,blue pallet,,
714131,GING PLUM SCE,4/9.06 LBS,Melting Pot,71413,na,blue pallet,Use By & Manuf Date (MM/DD/YY-E) hh:mm,
714141,TERIYAKI GLAZE,4/8.75 LBS,Melting Pot,71414,Soy & Wheat,blue pallet,Use By & Manuf Date (MM/DD/YY-E) hh:mm,,
,CO-PACKED ITEMS,,,,,,,,
021001,GARLIC SPREAD,6/4 LB,TULKOFF,CP-FEGT,Milk & Soy,x,Oasis,,
021125,GARLIC SPREAD,6/4 LB,ROSELI,CP-FEGT,Milk & Soy,x,Oasis,,
035001,GARLIC SPREAD,6/2 LB,TULKOFF,REPACK,Milk & Soy,x,Oasis,,
035036,GARLIC SPREAD,6/2 LB,ARREZZIO,CP-FEGT,Milk & Soy,x,Oasis TO REPLACE 039036 - effective?,,
035105,GARLIC SPREAD,6/2 LB,NATURAL PACK,REPACK,Milk & Soy,x,Oasis,,
035125,GARLIC SPREAD,6/2 LB,ROSELI,CP-FEGT,Milk & Soy,x,Oasis,,
037001,GARLIC SPREAD,2/2 LB,TULKOFF,REPACK,Milk & Soy,x,Oasis,,
038001,ZERO T GARLIC SPRD,6/2 LB,TULKOFF,CP-FEGZ,Milk & Soy,x,Oasis,,
039036,GARLIC SPREAD,6/2 LB,ARREZZIO,CP-10209,Milk & Soy,x,Kagome,,
158001,SCAMPI ZERO T,2/2.5 LB,TULKOFF,CP-30510,Milk & Soy,x,Darifair.  S/L = 4 R,,
259197,GARLIC SPREAD,2/4 LB,ROMA,REPACK,Milk & Soy,,,,
335125,GARLIC SPREAD,6/2 LB,ROSELI,REPACK,Milk & Soy,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
